category_id,description,level_id
1,おなかがすいたことを伝える。,1
1,食べたいものを伝える。,2
1,ほしいものを伝える。,3
1,のどがかわいたら、水を飲む。,4
1,人に言われて手を洗う。,1
1,自分から手を洗う。,2
1,ご飯の前に手を洗う。,3
1,せっけんで手を洗い、ハンカチでふく。,4
1,スプーンやフォークを使う。,1
1,食器をおさえて食べる。,2
1,おはしを使って食べる。,3
1,食器を持ちあげて、こぼさないで食べる。,4
1,食事が終わるまで座っている。,1
1,人に言われて手や口をふく。,2
1,ひじをつかないで食べる。,3
1,こぼさないで食べる。,4
1,人に言われて食事のあいさつをする。,1
1,自分から食事のあいさつをする。,2
1,おやつを決められた量を食べる。,1
1,おやつを決められた時間に食べる。,2
1,おやつがほしいと言う。,3
1,人に言われて鼻水をふく。,1
1,人に言われて鼻をかむ。,2
1,自分で鼻をかむ。,3
1,自分でしっかりと鼻をかむ。,4
1,口をふいてもらう。,1
1,人に言われて口をふく。,2
1,汚れたら自分で口をふく。,3
1,食事の後に口をふく。,4
1,人に言われてハンカチを使う。,1
1,自分からハンカチを使う。,2
1,ハンカチを自分で持ってきて使う。,3
1,汚れたら着替えさせてもらう。,1
1,汚れたら手伝ってもらいながら着替える。,2
1,汚れたら自分一人で着替える。,3
1,道路の端を歩く。,1
1,道路に飛び出さない。,2
1,白線の内側を歩く。,3
1,車に注意して歩く。,4
2,ゲームの勝ち負けがわかる。,1
2,順番を守ってゲームをする。,2
2,ゲームのルールを守る。,3
2,時間を決めてゲームをする。,4
2,好きな道具で遊ぶ。,1
2,いろいろな道具で遊ぶ。,2
2,遊び道具の順番を守る。,3
2,体を動かして遊ぶ。,4
2,人に言われたらおもちゃを片付ける。,1
2,自分でおもちゃを片付ける。,2
2,言われたら遊びをやめて片付ける。,3
2,自分からみんなのおもちゃを片付ける。,4
2,みんなで遊ぶ時のルールがわかる。,1
2,かわりばんこに、みんなで遊ぶ。,2
2,人に言われて、みんなで仲良く遊ぶ。,3
2,自分から、みんなと仲良く遊ぶ。,4
2,ごみをゴミ箱に捨てる。,1
2,ぞうきんをしぼって机をふく。,2
2,言われた場所をそうじする。,3
2,自分から汚れたところをそうじする。,4
2,写真のところに自分の物を置く。,1
2,使ったら元のところにもどす。,2
2,自分の物を片付ける。,3
2,言われたとおりに片付ける。,4
2,みんなといっしょに行動する。,1
2,交通ルールを守る。,2
2,外ではさわがない。,2
2,順番を守って乗り物に乗る。,3
2,時間と順番を守る。,4
2,おじぎをする。,1
2,大人には「です」「ます」で話す。,2
2,人に言われて言い方を直す。,3
2,自分の物がわかる。,1
2,ひとの物は勝手にさわらない。,2
2,ひとの物をとらない。,3
2,みんなでゆずりあって使う。,4
2,人に言われてお礼を言う。,1
2,大人の言うことを聞く。,2
2,静かに話を聞く。,3
